,award_company,award_type,movie,person,year
457,golden_globe,best_actress,Sunrise at Campobello,Greer Garson,1960
458,golden_globe,best_actress,Summer and Smoke,Geraldine Page,1961
459,golden_globe,best_actress,Sweet Bird of Youth,Geraldine Page,1962
460,golden_globe,best_actress,The L-Shaped Room,Leslie Caron,1963
461,golden_globe,best_actress,The Pumpkin Eater,Anne Bancroft,1964
462,golden_globe,best_actress,The Collector,Samantha Eggar,1965
463,golden_globe,best_actress,A Man and a Woman,Anouk Aimée,1966
464,golden_globe,best_actress,The Whisperers,Edith Evans,1967
465,golden_globe,best_actress,"Rachel, Rachel",Joanne Woodward,1968
466,golden_globe,best_actress,Anne of the Thousand Days,Geneviève Bujold,1969
467,golden_globe,best_actress,Love Story,Ali MacGraw,1970
468,golden_globe,best_actress,Klute,Jane Fonda,1971
469,golden_globe,best_actress,The Emigrants,Liv Ullmann,1972
470,golden_globe,best_actress,Cinderella Liberty,Marsha Mason,1973
471,golden_globe,best_actress,A Woman Under the Influence,Gena Rowlands,1974
472,golden_globe,best_actress,One Flew Over the Cuckoo's Nest,Louise Fletcher,1975
473,golden_globe,best_actress,Network,Faye Dunaway,1976
474,golden_globe,best_actress,Julia,Jane Fonda,1977
475,golden_globe,best_actress,Coming Home,Jane Fonda,1978
476,golden_globe,best_actress,Norma Rae,Sally Field,1979
477,golden_globe,best_actress,Ordinary People,Mary Tyler Moore,1980
478,golden_globe,best_actress,The French Lieutenant's Woman,Meryl Streep,1981
479,golden_globe,best_actress,Sophie's Choice,Meryl Streep,1982
480,golden_globe,best_actress,Terms of Endearment,Shirley MacLaine,1983
481,golden_globe,best_actress,Places in the Heart,Sally Field,1984
482,golden_globe,best_actress,The Color Purple,Whoopi Goldberg,1985
483,golden_globe,best_actress,Children of a Lesser God,Marlee Matlin,1986
484,golden_globe,best_actress,Anna,Sally Kirkland,1987
485,golden_globe,best_actress,The Accused,Jodie Foster,1988
486,golden_globe,best_actress,The Fabulous Baker Boys,Michelle Pfeiffer,1989
487,golden_globe,best_actress,Misery,Kathy Bates,1990
488,golden_globe,best_actress,The Silence of the Lambs,Jodie Foster,1991
489,golden_globe,best_actress,Howards End,Emma Thompson,1992
490,golden_globe,best_actress,The Piano,Holly Hunter,1993
491,golden_globe,best_actress,Blue Sky,Jessica Lange,1994
492,golden_globe,best_actress,Casino,Sharon Stone,1995
493,golden_globe,best_actress,Secrets & Lies,Brenda Blethyn,1996
494,golden_globe,best_actress,Mrs Brown,Judi Dench,1997
495,golden_globe,best_actress,Elizabeth,Cate Blanchett,1998
496,golden_globe,best_actress,Boys Don't Cry,Hilary Swank,1999
497,golden_globe,best_actress,Erin Brockovich,Julia Roberts,2000
498,golden_globe,best_actress,In the Bedroom,Sissy Spacek,2001
499,golden_globe,best_actress,The Hours,Nicole Kidman,2002
500,golden_globe,best_actress,Monster,Charlize Theron,2003
501,golden_globe,best_actress,Million Dollar Baby,Hilary Swank,2004
502,golden_globe,best_actress,Transamerica,Felicity Huffman,2005
503,golden_globe,best_actress,The Queen,Helen Mirren,2006
504,golden_globe,best_actress,Away from Her,Julie Christie,2007
505,golden_globe,best_actress,Revolutionary Road,Kate Winslet,2008
506,golden_globe,best_actress,The Blind Side,Sandra Bullock,2009
507,golden_globe,best_actress,Black Swan,Natalie Portman,2010
508,golden_globe,best_actress,The Iron Lady,Meryl Streep,2011
509,golden_globe,best_actress,Zero Dark Thirty,Jessica Chastain,2012
510,golden_globe,best_actress,Blue Jasmine,Cate Blanchett,2013
511,golden_globe,best_actress,Still Alice,Julianne Moore,2014
512,golden_globe,best_actress,Room,Brie Larson,2015
513,golden_globe,best_actress,Elle,Isabelle Huppert,2016
514,golden_globe,best_actress,"Three Billboards Outside Ebbing, Missouri",Frances McDormand,2017
515,golden_globe,best_actress,The Wife,Glenn Close,2018
516,golden_globe,best_actress,Judy,Renée Zellweger,2019
517,golden_globe,best_actress,The United States vs. Billie Holiday,Andra Day,2020
518,golden_globe,best_actress,Being the Ricardos,Nicole Kidman,2021
519,golden_globe,best_picture,The Song of Bernadette,Henry King,1943
520,golden_globe,best_picture,Going My Way,Leo McCarey,1944
521,golden_globe,best_picture,The Lost Weekend,Billy Wilder,1945
522,golden_globe,best_picture,The Best Years of Our Lives,William Wyler,1946
523,golden_globe,best_picture,Gentleman's Agreement,Elia Kazan,1947
524,golden_globe,best_picture,Johnny Belinda,Jean Negulesco,1948
525,golden_globe,best_picture,All the King's Men,Robert Rossen,1949
526,golden_globe,best_picture,Sunset Boulevard,Billy Wilder,1950
527,golden_globe,best_picture,A Place in the Sun,George Stevens,1951
528,golden_globe,best_picture,The Greatest Show on Earth,Cecil B. DeMille,1952
529,golden_globe,best_picture,The Robe,Henry Koster,1953
530,golden_globe,best_picture,On the Waterfront,Elia Kazan,1954
531,golden_globe,best_picture,East of Eden,Elia Kazan,1955
532,golden_globe,best_picture,Around the World in 80 Days,Michael Anderson,1956
533,golden_globe,best_picture,The Bridge on the River Kwai,David Lean,1957
534,golden_globe,best_picture,The Defiant Ones,Stanley Kramer,1958
535,golden_globe,best_picture,Ben-Hur,William Wyler,1959
536,golden_globe,best_picture,Spartacus,Stanley Kubrick,1960
537,golden_globe,best_picture,The Guns of Navarone,J. Lee Thompson,1961
538,golden_globe,best_picture,Lawrence of Arabia,David Lean,1962
539,golden_globe,best_picture,The Cardinal,Otto Preminger,1963
540,golden_globe,best_picture,Becket,Peter Glenville,1964
541,golden_globe,best_picture,Doctor Zhivago,David Lean,1965
542,golden_globe,best_picture,A Man for All Seasons,Fred Zinnemann,1966
543,golden_globe,best_picture,In the Heat of the Night,Norman Jewison,1967
544,golden_globe,best_picture,The Lion in Winter,Anthony Harvey,1968
545,golden_globe,best_picture,Anne of the Thousand Days,Charles Jarrott,1969
546,golden_globe,best_picture,Love Story,Arthur Hiller,1970
547,golden_globe,best_picture,The French Connection,William Friedkin,1971
548,golden_globe,best_picture,The Godfather,Francis Ford Coppola,1972
549,golden_globe,best_picture,The Exorcist,William Friedkin,1973
550,golden_globe,best_picture,Chinatown,Roman Polanski,1974
551,golden_globe,best_picture,One Flew Over the Cuckoo's Nest,Miloš Forman,1975
552,golden_globe,best_picture,Rocky,John G. Avildsen,1976
553,golden_globe,best_picture,The Turning Point,Herbert Ross,1977
554,golden_globe,best_picture,Midnight Express,Alan Parker,1978
555,golden_globe,best_picture,Kramer vs. Kramer,Robert Benton,1979
556,golden_globe,best_picture,Ordinary People,Robert Redford,1980
557,golden_globe,best_picture,On Golden Pond,Mark Rydell,1981
558,golden_globe,best_picture,E.T. the Extra-Terrestrial,Steven Spielberg,1982
559,golden_globe,best_picture,Terms of Endearment,James L. Brooks,1983
560,golden_globe,best_picture,Amadeus,Miloš Forman,1984
561,golden_globe,best_picture,Out of Africa,Sydney Pollack,1985
562,golden_globe,best_picture,Platoon,Oliver Stone,1986
563,golden_globe,best_picture,The Last Emperor,Bernardo Bertolucci,1987
564,golden_globe,best_picture,Rain Man,Barry Levinson,1988
565,golden_globe,best_picture,Born on the Fourth of July,Oliver Stone,1989
566,golden_globe,best_picture,Dances with Wolves,Kevin Costner,1990
567,golden_globe,best_picture,Bugsy,Barry Levinson,1991
568,golden_globe,best_picture,Scent of a Woman,Martin Brest,1992
569,golden_globe,best_picture,Schindler's List,Steven Spielberg,1993
570,golden_globe,best_picture,Forrest Gump,Robert Zemeckis,1994
571,golden_globe,best_picture,Sense and Sensibility,Ang Lee,1995
572,golden_globe,best_picture,The English Patient,Anthony Minghella,1996
573,golden_globe,best_picture,Titanic,James Cameron,1997
574,golden_globe,best_picture,Saving Private Ryan,Steven Spielberg,1998
575,golden_globe,best_picture,American Beauty,Sam Mendes,1999
576,golden_globe,best_picture,Gladiator,Ridley Scott,2000
577,golden_globe,best_picture,A Beautiful Mind,Ron Howard,2001
578,golden_globe,best_picture,The Hours,Stephen Daldry,2002
579,golden_globe,best_picture,The Lord of the Rings: The Return of the King,Peter Jackson,2003
580,golden_globe,best_picture,The Aviator,Martin Scorsese,2004
581,golden_globe,best_picture,Brokeback Mountain,Ang Lee,2005
582,golden_globe,best_picture,Babel,Alejandro González Iñárritu,2006
583,golden_globe,best_picture,Atonement,Joe Wright,2007
584,golden_globe,best_picture,Slumdog Millionaire,Danny Boyle,2008
585,golden_globe,best_picture,Avatar,James Cameron,2009
586,golden_globe,best_picture,The Social Network,David Fincher,2010
587,golden_globe,best_picture,The Descendants,Alexander Payne,2011
588,golden_globe,best_picture,Argo,Ben Affleck,2012
589,golden_globe,best_picture,12 Years a Slave,Steve McQueen,2013
590,golden_globe,best_picture,Boyhood,Richard Linklater,2014
591,golden_globe,best_picture,The Revenant,Alejandro G. Iñárritu,2015
592,golden_globe,best_picture,Moonlight,Barry Jenkins,2016
593,golden_globe,best_picture,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,2017
594,golden_globe,best_picture,Bohemian Rhapsody,Bryan Singer,2018
595,golden_globe,best_picture,1917,Sam Mendes,2019
596,golden_globe,best_picture,Nomadland,Chloé Zhao,2020
597,golden_globe,best_picture,The Power of the Dog,Jane Campion,2021
